game_title,platform,release_date,genre,developer,rating,price,multiplayer,description
Final Fantasy VII Remake,Nintendo Switch,11/09/1985,survival,Blogtag,E for Everyone,16.87,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
Cyberpunk 2077,PC,03/05/1995,shooter,Quaxo,E for Everyone,27.39,false,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
Resident Evil 3,PlayStation 4,26/06/2014,shooter,Tagpad,T for Teen,32.51,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
Doom Eternal,Xbox One,03/07/1984,puzzle,Digitube,T for Teen,88.82,false,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Apex Legends,Nintendo Switch,03/06/1981,role-playing,Snaptags,T for Teen,94.51,false,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Rainbow Six Siege,PC,03/05/2006,action,Jaxnation,M for Mature,1.4,false,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Genshin Impact,PlayStation 4,01/10/2008,puzzle,Divavu,E for Everyone,73.82,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
Among Us,Xbox One,12/11/2004,sandbox,Babbleset,E for Everyone,2.1,false,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
Hades,Nintendo Switch,11/11/2016,shooter,Topiclounge,T for Teen,8.41,false,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
Ghost of Tsushima,PC,10/04/2011,racing,Kanoodle,M for Mature,57.68,true,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
The Last of Us Part II,PlayStation 4,07/11/1990,sports,Rhynyx,T for Teen,10.92,false,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
Pokémon Sword and Shield,Xbox One,27/10/2006,puzzle,Mudo,E for Everyone,78.88,false,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
Star Wars Jedi: Fallen Order,Nintendo Switch,04/07/1987,puzzle,Quimm,E for Everyone,51.78,true,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Marvel's Spider-Man: Miles Morales,PC,31/01/1999,simulation,Tanoodle,T for Teen,6.8,false,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Demon's Souls,PlayStation 4,23/03/1996,role-playing,Jaxnation,E for Everyone,46.23,false,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
God of War,Xbox One,13/06/1988,stealth,Abatz,M for Mature,76.54,true,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
Halo Infinite,Nintendo Switch,30/10/2007,fighting,Quatz,M for Mature,56.44,true,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
The Elder Scrolls V: Skyrim,PC,03/07/1992,music,Zoonoodle,T for Teen,32.72,false,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Red Dead Redemption 2,PlayStation 4,18/12/1984,stealth,Voomm,M for Mature,47.41,true,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
Destiny 2,Xbox One,21/10/2017,sandbox,Mydeo,T for Teen,47.7,true,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Borderlands 3,Nintendo Switch,19/12/2001,card,Quatz,T for Teen,81.31,true,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
The Witcher 3: Wild Hunt,PC,12/11/2006,sports,Jamia,E for Everyone,88.03,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
Super Smash Bros. Ultimate,PlayStation 4,03/03/2013,card,Oyoloo,T for Teen,4.16,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
Mario Kart 8 Deluxe,Xbox One,11/06/2021,sandbox,Browsebug,E for Everyone,13.9,true,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
Splatoon 2,Nintendo Switch,21/10/2008,survival,Zazio,T for Teen,14.41,true,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
Pokémon Go,PC,01/03/1983,sandbox,Kwinu,E for Everyone,57.39,false,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
Fortnite,PlayStation 4,27/07/1997,fighting,Voolith,E for Everyone,87.18,false,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Among Us,Xbox One,11/09/1998,strategy,Skiptube,M for Mature,57.73,false,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus."
Valorant,Nintendo Switch,06/05/1993,simulation,Jetpulse,T for Teen,51.75,false,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
Minecraft,PC,18/04/2014,platformer,Fatz,M for Mature,15.37,true,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Roblox,PlayStation 4,09/11/2014,role-playing,Browseblab,T for Teen,75.49,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
Genshin Impact,Xbox One,21/03/2020,party,Leexo,M for Mature,48.68,true,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Apex Legends,Nintendo Switch,28/01/2012,shooter,Skippad,T for Teen,64.73,true,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
Call of Duty: Warzone,PC,14/10/2001,board,Devpoint,E for Everyone,39.72,true,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
League of Legends,PlayStation 4,28/06/2018,sandbox,Divanoodle,T for Teen,65.28,true,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
Counter-Strike: Global Offensive,Xbox One,08/11/1989,music,Oozz,T for Teen,3.96,false,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
Dota 2,Nintendo Switch,12/08/1994,fighting,Twimm,T for Teen,3.38,false,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
World of Warcraft,PC,25/06/2008,strategy,Jayo,E for Everyone,80.52,false,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Overwatch,PlayStation 4,21/01/2013,simulation,Browseblab,E for Everyone,2.6,true,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Rocket League,Xbox One,11/08/1985,strategy,Pixonyx,T for Teen,29.12,false,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Rainbow Six Siege,Nintendo Switch,23/11/1997,adventure,Dynabox,E for Everyone,48.66,true,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
Fall Guys,PC,17/08/2007,role-playing,Vipe,M for Mature,32.46,true,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Among Us,PlayStation 4,03/10/1987,fighting,Myworks,M for Mature,80.69,false,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Minecraft,Xbox One,19/02/2008,horror,Realfire,E for Everyone,95.07,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
Fortnite,Nintendo Switch,06/09/1985,board,Trupe,M for Mature,70.22,false,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
Apex Legends,PC,25/06/1993,survival,Eadel,M for Mature,18.23,true,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
Valorant,PlayStation 4,31/05/1990,strategy,Agimba,T for Teen,48.8,false,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
Call of Duty: Warzone,Xbox One,08/05/1992,stealth,Lazz,E for Everyone,75.39,false,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
League of Legends,Nintendo Switch,10/03/1987,board,Geba,M for Mature,17.54,true,Sed ante. Vivamus tortor. Duis mattis egestas metus.
Counter-Strike: Global Offensive,PC,23/09/2017,stealth,Meembee,M for Mature,65.65,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
Dota 2,PlayStation 4,17/04/2009,platformer,Quire,E for Everyone,44.27,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
World of Warcraft,Xbox One,05/12/1994,educational,Kayveo,E for Everyone,84.46,false,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
Overwatch,Nintendo Switch,12/06/2001,simulation,Voolia,T for Teen,75.3,false,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
Rocket League,PC,17/04/2004,shooter,Skyba,E for Everyone,64.2,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Rainbow Six Siege,PlayStation 4,13/03/1980,survival,Rhynyx,T for Teen,93.58,true,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
Fall Guys,Xbox One,28/01/2009,strategy,Tambee,E for Everyone,58.46,true,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
Animal Crossing: New Horizons,Nintendo Switch,04/01/1993,role-playing,Browsecat,M for Mature,76.65,false,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
Pokémon Sword and Shield,PC,22/08/2018,strategy,Roodel,T for Teen,98.59,true,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Super Smash Bros. Ultimate,PlayStation 4,05/07/2000,card,Jaxbean,T for Teen,39.81,true,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
Mario Kart 8 Deluxe,Xbox One,20/12/1985,strategy,Skajo,T for Teen,83.07,false,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus."
Splatoon 2,Nintendo Switch,04/12/2018,card,Kwinu,E for Everyone,21.14,false,Fusce consequat. Nulla nisl. Nunc nisl.
Pokémon Go,PC,18/02/1981,educational,Jetpulse,E for Everyone,92.44,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
The Legend of Zelda: Breath of the Wild,PlayStation 4,25/05/2001,role-playing,Thoughtsphere,T for Teen,47.95,true,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Super Mario Odyssey,Xbox One,02/01/1984,card,Kazu,E for Everyone,0.79,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis."
Luigi's Mansion 3,Nintendo Switch,29/11/2015,platformer,Dabtype,T for Teen,6.07,false,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
Fire Emblem: Three Houses,PC,05/12/2006,educational,Janyx,T for Teen,0.59,true,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
Xenoblade Chronicles: Definitive Edition,PlayStation 4,30/12/2012,action,Yombu,T for Teen,34.8,false,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
Paper Mario: The Origami King,Xbox One,10/09/2003,strategy,Quatz,E for Everyone,6.09,false,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
Super Mario 3D All-Stars,Nintendo Switch,24/11/1984,puzzle,Dabfeed,E for Everyone,5.07,true,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
Hyrule Warriors: Age of Calamity,PC,22/09/1996,board,Fadeo,E for Everyone,31.49,false,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl."
Ring Fit Adventure,PlayStation 4,18/02/1984,simulation,Buzzbean,T for Teen,59.46,true,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
Animal Crossing: New Horizons,Xbox One,18/09/2008,fighting,Nlounge,E for Everyone,66.09,false,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus."
Pokémon Sword and Shield,Nintendo Switch,19/10/1994,educational,Flipbug,E for Everyone,58.09,true,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
Super Smash Bros. Ultimate,PC,09/01/2004,simulation,Twimbo,T for Teen,45.52,false,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Mario Kart 8 Deluxe,PlayStation 4,17/03/1994,music,Bubbletube,E for Everyone,0.85,false,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
Splatoon 2,Xbox One,14/01/2012,board,Zoonder,E for Everyone,44.24,false,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
Pokémon Go,Nintendo Switch,28/05/1982,card,Leenti,T for Teen,49.76,true,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
The Legend of Zelda: Breath of the Wild,PC,11/12/1987,racing,Quire,E for Everyone,82.07,true,Sed ante. Vivamus tortor. Duis mattis egestas metus.
Super Mario Odyssey,PlayStation 4,12/05/2009,educational,Skiba,E for Everyone,20.76,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
Luigi's Mansion 3,Xbox One,30/06/1998,simulation,InnoZ,M for Mature,94.5,false,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi."
Fire Emblem: Three Houses,Nintendo Switch,27/02/1982,strategy,Skyvu,T for Teen,70.08,false,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
Xenoblade Chronicles: Definitive Edition,PC,25/01/1994,survival,Thoughtmix,M for Mature,8.17,false,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
Paper Mario: The Origami King,PlayStation 4,14/03/1992,shooter,Photobug,E for Everyone,98.01,true,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
Super Mario 3D All-Stars,Xbox One,11/05/1985,music,Fadeo,M for Mature,9.85,false,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Hyrule Warriors: Age of Calamity,Nintendo Switch,15/07/2014,role-playing,Gabtype,E for Everyone,89.59,false,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
Ring Fit Adventure,PC,22/06/1994,simulation,Blogspan,M for Mature,67.59,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
Super Mario Bros,PlayStation 4,05/01/2000,stealth,Flashset,E for Everyone,19.14,false,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
The Legend of Zelda,Xbox One,19/07/1988,role-playing,Abatz,E for Everyone,52.15,true,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris."
Minecraft,Nintendo Switch,05/04/2015,music,Brainsphere,T for Teen,11.51,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum."
Grand Theft Auto V,PC,13/02/1986,platformer,Fivespan,M for Mature,86.91,false,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
Fortnite,PlayStation 4,27/09/1997,strategy,Oodoo,E for Everyone,64.64,true,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus."
Call of Duty: Modern Warfare,Xbox One,26/11/2003,simulation,Quire,E for Everyone,64.61,true,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
FIFA 21,Nintendo Switch,17/11/2019,simulation,Meemm,E for Everyone,25.38,false,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
