title,director,genre,duration,theme,budget,release_date,rating
Before I Go to Sleep,Di Calderhead,romance,108,sci-fi,Peso,7/16/2001,6.23
Feds,Prisca Lorence,fantasy,172,romance,Zloty,2/16/2018,9.57
Above Suspicion,Audry Riguard,sci-fi,295,sci-fi,Yuan Renminbi,2/14/1977,9.29
Clash of the Wolves,Vicki Wathell,drama,55,drama,Rupiah,11/24/1965,2.72
His Girl Friday,Boniface Hebbron,thriller,207,romance,Rupiah,3/10/1948,2.42
"Kentuckian, The",Mitch Hundall,western,225,thriller,Rupiah,10/28/2018,4.8
"Ballad of the Sad Cafe, The",Alfie Gotfrey,drama,157,comedy,Yuan Renminbi,7/29/1952,9.99
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu),Merrily Botterman,western,236,action,Rupiah,7/22/1904,9.33
Never Say Never Again,Adrian Gillford,animation,80,action,Ruble,8/1/1954,5.38
Linda Linda Linda,Bamby Glaum,horror,232,drama,Naira,12/21/1905,7.7
Uncle Buck,Tore Scouse,romance,88,drama,Yuan Renminbi,8/12/1963,6.85
"Alamo, The",Hunter Follen,comedy,37,drama,Rupiah,3/26/1902,3.17
Alvarez Kelly,Bianca Dare,crime,104,comedy,Peso,6/4/1934,4.87
"Love and Anarchy (Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...')",Brendon Litton,drama,44,thriller,Yuan Renminbi,9/24/1932,0.18
Throw Down (Yau doh lung fu bong),Liesa Cluer,romance,101,romance,Franc,3/11/1948,5.39
Amityville 1992: It's About Time,Laurene McShirie,action,69,romance,Dinar,2/20/1934,4.02
Blackbird,Budd Geldert,drama,81,sci-fi,Yuan Renminbi,10/20/1923,7.59
12 Years a Slave,Vin Hugett,action,215,thriller,Pound,1/19/1909,9.03
Eulogy,Brion Colby,sci-fi,129,romance,Yuan Renminbi,11/24/1978,7.59
"Internet's Own Boy: The Story of Aaron Swartz, The",Coleen Curnick,thriller,287,comedy,Yuan Renminbi,7/30/1960,8.61
Camille,Humfrid McCaughren,crime,44,romance,Dong,4/15/1968,9.35
Beavis and Butt-Head Do America,Burnaby Featherstonhalgh,sci-fi,49,thriller,Krona,8/29/1972,4.27
Yella,Rebe Willars,romance,212,romance,Dollar,6/12/1952,2.99
Loving You,Babb Risdall,action,137,action,Euro,3/24/1952,2.92
Kill a Rat,Morena Gettings,romance,107,thriller,Peso,9/29/1978,2.59
Pilgrimage,Dreddy Piaggia,fantasy,266,drama,Real,8/3/1997,8.57
La Rabbia,Wesley von Nassau,horror,150,action,Krona,8/27/1945,9.29
Supermen of Malegaon,Frankie Rimmington,fantasy,88,sci-fi,Yuan Renminbi,12/14/1938,4.86
Man of the House,Elvina Kelly,fantasy,249,thriller,Yuan Renminbi,7/1/1940,6.86
Head of State,Zorana Lighten,drama,190,thriller,Sol,8/19/1957,1.72
Captains of the Clouds,Laurianne Roback,adventure,55,romance,Peso,9/30/1966,6.66
"Italian Job, The",Crichton Hernik,crime,78,sci-fi,Yuan Renminbi,7/21/1909,0.88
Paternity,Paten Gee,sci-fi,21,romance,Peso,7/21/1951,6.14
"Mambo Kings, The",Birgitta Grancher,mystery,230,romance,Ringgit,6/22/1932,9.75
Jennifer 8,Morris MacCaughan,crime,284,thriller,Yen,8/15/1922,5.62
"Wanderers, The",Cleve Robardet,adventure,26,romance,Dong,10/1/2014,3.72
...tick... tick... tick...,Tabbitha Yankeev,crime,193,drama,Bolivar,5/16/2018,1.28
Freaky Deaky,Astrix Shevlane,mystery,273,comedy,Naira,5/22/1990,5.04
Monsignor,Vitoria Agar,mystery,285,thriller,Peso,8/30/2001,7.75
Bloody New Year,Nonnah Acors,sci-fi,179,drama,Rupiah,4/2/1991,5.12
Watermelon Man,Ulric Geratasch,fantasy,11,sci-fi,Yuan Renminbi,8/13/1925,4.4
"Prefab People, The (Panelkapcsolat)",Whittaker Gravell,crime,74,comedy,Naira,5/17/2022,5.3
Sputnik,Nana Tipper,adventure,212,action,Yuan Renminbi,7/22/1937,2.14
"Song of Bernadette, The",Hewett Vandenhoff,crime,109,sci-fi,Shekel,4/6/2013,0.17
"Message from Akira Kurosawa: For Beautiful Movies, A (Kurosawa Akira kara no messêji: Utsukushii eiga o)",Maurise Jaggers,romance,8,action,Euro,7/25/1955,1.46
Southern District (Zona Sur),Vere Bayford,crime,212,action,Peso,2/23/1985,6.84
Osaka Elegy (Naniwa erejî),Xylia Dunning,crime,184,comedy,Yuan Renminbi,8/23/1904,1.32
"Perfect Day, A (Un giorno perfetto)",Kerk Wicklin,adventure,104,drama,Peso,3/10/2015,9.97
Toni,Courtenay Mazzia,crime,121,thriller,Peso,10/2/1954,3.38
Adrift (À Deriva),Thibaut Gardiner,animation,217,sci-fi,Krona,3/22/1933,0.17
Trader Games (Krach),Jamill Issacov,mystery,272,thriller,Peso,6/22/1976,2.27
"Amour fou, L'",Cristobal Blades,romance,104,action,Krona,8/6/1964,3.63
Fortress,Portia Swannell,mystery,96,drama,Ruble,5/18/1967,6.37
In the Bleak Midwinter,Simonne Scaife,romance,57,drama,Yuan Renminbi,8/7/1913,0.85
"Stockholm, Pennsylvania",Anastasia Stealey,comedy,203,comedy,Koruna,12/13/1984,7.34
Atlantis: The Lost Empire,Napoleon Powton,romance,211,thriller,Euro,1/21/1904,4.04
Here on Earth,Akim Abramovitch,western,230,comedy,Yuan Renminbi,4/10/2005,9.65
Inside Paris (Dans Paris),Johanna Colpus,sci-fi,207,thriller,Pound,2/17/1952,9.96
9 1/2 Weeks (Nine 1/2 Weeks),Bev Benmore,romance,7,comedy,Peso,1/11/1954,0.68
Real Fiction (Shilje sanghwang),Winny De Blasio,romance,265,comedy,Peso,4/14/2015,4.27
The Princess of Egypt,Arly Barensen,romance,137,thriller,Yuan Renminbi,6/3/1972,2.24
It's All True,Bertrando Braddon,thriller,114,sci-fi,Ruble,5/4/2019,3.0
Desire,Alvera Tetther,adventure,62,thriller,Ruble,2/8/1998,8.22
"Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)",Leena Nolan,fantasy,81,sci-fi,Peso,12/15/1905,4.27
Chill,Boonie Ickovic,mystery,29,romance,Yuan Renminbi,8/12/1988,0.58
Edmond,Cristiano Weekes,crime,205,romance,Euro,9/21/1908,9.65
"Wildcat, The (Die Bergkatze)",Guido Newby,thriller,286,romance,Sol,9/8/1924,7.92
Three Stars,Alanah Jerrand,western,265,comedy,Euro,10/20/2017,6.84
The Fearmakers,Salvatore Greed,romance,91,comedy,Peso,7/15/1935,4.58
"Mill and the Cross, The",Birdie Clears,sci-fi,279,romance,Ruble,12/26/2020,0.28
"Salvation, The",Zitella Gurry,animation,72,romance,Krona,3/24/1980,3.26
"Unknown Soldier, The (Unbekannte Soldat, Der)",Lauralee Launchbury,thriller,202,drama,Dollar,2/25/1901,5.55
"Thief and the Cobbler, The (a.k.a. Arabian Knight)",Langsdon Coenraets,adventure,73,drama,Sol,1/12/1946,5.66
Wild,Elisabeth Rois,drama,76,drama,Balboa,2/2/1987,0.37
Darkness/Light/Darkness (Tma/Svetlo/Tma),Taffy Monck,animation,139,action,Ruble,8/8/1905,6.06
Big Daddy,Danielle Reneke,fantasy,160,comedy,Sol,8/30/1924,6.98
Wordplay,Inglis Casterton,adventure,109,comedy,Rupiah,6/13/1914,0.16
48 Hrs.,Athena Cosser,action,216,action,Rand,6/3/1919,5.38
"Two Faces of January, The",Sampson Berard,drama,297,comedy,Sol,4/26/1958,7.86
Heart of a Lion,Carline Orrom,romance,15,sci-fi,Euro,4/4/1942,1.27
"Name of the Rose, The (Name der Rose, Der)",Othello Rushbrooke,fantasy,140,sci-fi,Yuan Renminbi,6/3/1917,6.83
"Living Wake, The",Dehlia Rosengart,fantasy,32,comedy,Euro,1/31/1917,1.27
"Adventures of Arsène Lupin, The (Aventures d'Arsène Lupin, Les)",Gertie Dahmel,crime,28,romance,Real,3/14/1958,7.53
Kung Fu Panda: Secrets of the Furious Five,Richard Coburn,horror,297,action,Kuna,6/28/1945,2.31
Land of the Lost,Fredericka Deinhardt,crime,222,comedy,Peso,8/15/1960,6.65
Darling Lili,Pia Heffer,horror,29,romance,Krona,4/29/1992,4.5
Somewhere in Time,Dallis Runcieman,comedy,49,comedy,Zloty,7/19/1974,6.73
"Scarlet Letter, The",Rosmunda Durbyn,adventure,144,thriller,Peso,1/23/1939,0.4
My Darling Clementine,Abagael Prudham,action,76,sci-fi,Euro,8/9/2002,8.86
Land of the Lost,Constancia Jarrard,crime,298,romance,Franc,11/14/1910,1.39
"He Said, She Said",Kat Ianniello,fantasy,133,comedy,Dong,1/12/1986,2.53
Army of Darkness,Marcy Ferraresi,romance,279,sci-fi,Euro,1/22/2007,1.55
Magic Mike,Daile Mothersdale,western,283,action,Yen,8/6/1943,9.74
"Home Song Stories, The",Mano Lapides,western,138,romance,Yuan Renminbi,6/1/1929,0.45
Interior. Leather Bar.,Jessy Clarricoates,animation,61,thriller,Afghani,9/18/1973,5.5
Romeo and Juliet,Mickey Tretter,comedy,264,thriller,Rial,10/15/1976,4.28
Tokyo Zombie (Tôkyô zonbi),Dorella Yesinov,thriller,292,sci-fi,Yuan Renminbi,4/18/1943,0.25
"Joker Is Wild, The (All the Way)",Shari Cracoe,thriller,59,sci-fi,Peso,5/28/1997,0.12
Hideaway,Marlo Matic,comedy,210,sci-fi,Zloty,4/7/1918,1.18
"Boondock Saints, The",Mirilla Geram,mystery,139,drama,Ruble,3/9/2010,0.28
What Goes Up,Lura MacLardie,sci-fi,245,sci-fi,Rupiah,6/14/1948,8.31
Snake in the Eagle's Shadow (Se ying diu sau),Hana Duckers,thriller,4,sci-fi,Yuan Renminbi,5/8/1939,5.29
Hardcore,Frankie Barniss,crime,299,thriller,Real,8/26/1923,2.12
Elizabeth,Hannah Mann,animation,103,drama,Rupiah,10/15/1943,4.83
Zoom,Jedd De Minico,sci-fi,16,thriller,Lek,1/29/1968,2.74
Anatomy (Anatomie),Pippa Money,thriller,133,comedy,Dirham,11/28/2013,7.79
Coraline,Hubie Gardiner,sci-fi,170,thriller,Yen,5/22/1949,9.6
"Unreal Dream: The Michael Morton Story, An",Cal St Pierre,horror,3,drama,Rupiah,2/19/2018,4.58
Guarding Tess,Sunny Norris,thriller,251,action,Euro,6/26/1952,3.44
Rosemary's Baby,Marinna Dominguez,animation,133,thriller,Zloty,2/2/2022,9.78
Cheetah,Jule Merwede,mystery,174,sci-fi,Peso,4/5/1968,6.54
Sunburn,Antoinette Cuddy,adventure,131,sci-fi,Yuan Renminbi,4/23/1932,9.53
Joshua,Herman Beckwith,crime,216,sci-fi,Ruble,9/27/1905,0.13
