product_id,product_name,description,price,material,color,dimensions,weight,manufacturer
34,Country-style Buffet,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",530.05,fabric,Turquoise,error: Field 'length' not found,9.3,Twinder
35,Shabby Chic Dressing Table,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,784.53,leather,Goldenrod,error: Field 'length' not found,95.7,Gabspot
36,Urban Loft Bed,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",894.02,metal,Yellow,error: Field 'length' not found,56.8,Photobean
37,Ranch-style Armchair,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",144.58,metal,Indigo,error: Field 'length' not found,5.3,Jaxworks
38,Cottage Coffee Table,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,419.05,metal,Green,error: Field 'length' not found,18.7,Kazio
39,Beach House Bookcase,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",727.74,metal,Maroon,error: Field 'length' not found,74.6,Innotype
40,Mountain Cabin Wardrobe,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",313.24,leather,Khaki,error: Field 'length' not found,51.8,Tanoodle
41,Boho Pouf,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",652.09,leather,Indigo,error: Field 'length' not found,34.1,Jabbersphere
42,Gothic Dining Chair,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",628.75,leather,Purple,error: Field 'length' not found,63.0,Skilith
43,Renaissance Canopy Bed,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",556.22,metal,Puce,error: Field 'length' not found,47.4,Jaxspan
44,Baroque Settee,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",293.98,fabric,Turquoise,error: Field 'length' not found,69.7,Meeveo
45,Egyptian Throne,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,237.95,leather,Aquamarine,error: Field 'length' not found,4.9,Photobug
46,Japanese Tatami Mat,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",612.16,fabric,Mauv,error: Field 'length' not found,95.1,Divavu
47,Moroccan Floor Cushion,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,439.12,metal,Purple,error: Field 'length' not found,84.9,Yakijo
48,Indian Jhoola Swing,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",413.11,fabric,Purple,error: Field 'length' not found,39.5,Tambee
49,Chinese Ming Dynasty Cabinet,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",372.18,wood,Green,error: Field 'length' not found,45.1,Snaptags
50,Art Nouveau Side Table,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,916.27,metal,Mauv,error: Field 'length' not found,85.1,Twimbo
51,Greek Doric Chair,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,581.8,metal,Fuscia,error: Field 'length' not found,75.6,Yotz
52,Roman Empire Divan,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",50.24,leather,Aquamarine,error: Field 'length' not found,57.4,Yozio
53,Prehistoric Stone Stool,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",333.68,leather,Red,error: Field 'length' not found,42.1,Skimia
54,Space Age Futon,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,832.35,leather,Maroon,error: Field 'length' not found,50.2,Buzzster
55,Steampunk Desk,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",354.11,wood,Red,error: Field 'length' not found,51.1,Vinte
56,Cyberpunk Gaming Chair,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,917.1,leather,Maroon,error: Field 'length' not found,96.2,Edgeblab
57,Fantasy Castle Bed,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",805.97,fabric,Khaki,error: Field 'length' not found,10.9,Youtags
58,Sci-Fi Floating Shelf,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,876.36,leather,Teal,error: Field 'length' not found,31.4,Rooxo
59,Superhero Bean Bag,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,614.79,fabric,Violet,error: Field 'length' not found,47.2,Skivee
60,Wizardry Writing Desk,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,189.14,wood,Purple,error: Field 'length' not found,15.2,Jazzy
61,Viking Throne,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",743.05,fabric,Khaki,error: Field 'length' not found,7.1,Wordpedia
62,Pirate Ship Bunk Bed,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,244.31,metal,Blue,error: Field 'length' not found,31.7,Divanoodle
63,Mermaid Vanity,Phasellus in felis. Donec semper sapien a libero. Nam dui.,803.75,fabric,Red,error: Field 'length' not found,45.8,Gabspot
64,Unicorn Rocking Horse,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",620.78,fabric,Aquamarine,error: Field 'length' not found,43.7,Chatterbridge
65,Dragon Bookshelf,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,746.02,metal,Teal,error: Field 'length' not found,73.9,Quaxo
66,Fairytale Wardrobe,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",837.86,metal,Orange,error: Field 'length' not found,65.5,Tagopia
67,Magical Mirror,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",967.34,wood,Violet,error: Field 'length' not found,64.7,Wordpedia
68,Time Traveler's Armchair,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",623.53,fabric,Turquoise,error: Field 'length' not found,35.9,Miboo
69,Alien Coffee Table,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",241.06,metal,Turquoise,error: Field 'length' not found,91.5,Layo
70,Robot Sideboard,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",20.8,wood,Indigo,error: Field 'length' not found,36.9,Flashspan
